#separator:Tab
#html:false
#tags column:5
IMF-105-02-0001-en	What distinguishes a Brønsted–Lowry acid from a base?	An acid donates a proton; a base accepts one.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0002-en	How does an acid differ from its conjugate base?	The acid has one additional proton and one unit more positive charge.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0003-en	What does a Lewis acid accept?	An electron pair; a Lewis acid–base interaction need not transfer a proton.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0004-en	What quantity formally defines pH?	The negative base-ten logarithm of hydrogen-ion activity; dilute-solution calculations often approximate activity using concentration relative to a standard.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0005-en	How does hydrogen-ion activity change when pH rises by two units?	It falls to one hundredth of its original value.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0006-en	Does neutral always mean pH 7 at every temperature?	No. Neutral means equal hydrogen-ion and hydroxide-ion activities; neutral pH depends on the temperature-dependent water ion product.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0007-en	Under the same solvent and temperature conditions, what does a lower pKa indicate?	A stronger acid, meaning greater dissociation tendency; it does not specify how concentrated the solution is.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0008-en	For a monoprotic weak acid initially at C with no added conjugate base, what concentration equation gives Ka when x dissociates and water is negligible?	Ka = x²/(C − x), assuming ideal dilute behaviour.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0009-en	For C = 0.040 mol/L and Ka = 10⁻⁵, what supports using x ≈ √(KaC)?	The estimate x ≈ 0.000632 mol/L is only about 1.58% of C, so acid depletion is small.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0010-en	Why does adding 10⁻⁸ mol/L of ideal strong acid to water at 25°C not give pH 8?	Water's hydrogen-ion contribution cannot be ignored. Charge balance and water equilibrium give a pH slightly below 7.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
IMF-105-02-0011-en	Which buffer component principally consumes added strong acid in an HA/A− buffer?	A−, the conjugate base, which is converted into HA.	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-english.md; module SHA256 at export: ceeb6d28a81a4bba446c7612d656837980d2107618bb0bb19b7771d882f664f8; editorial review pending	imf lang::en chapter::105 module::105-02 review::pending
