#separator:Tab
#html:false
#tags column:5
IMF-105-02-0001-ja	ブレンステッド・ローリーの酸と塩基はどう異なるか。	酸はプロトンを与え、塩基は受け取る。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0002-ja	酸はその共役塩基とどう異なるか。	酸の方がプロトンを一つ多く持ち、電荷が1単位だけ正の方向に大きい。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0003-ja	ルイス酸は何を受け取るか。	電子対。ルイス酸塩基相互作用は必ずしもプロトン移動を伴わない。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0004-ja	pHを正式に定義する量は何か。	水素イオン活量の常用対数に負号を付けた量。希薄溶液の計算では、標準に対する濃度の比で活量を近似することが多い。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0005-ja	pHが2上昇すると水素イオン活量はどう変わるか。	元の100分の1になる。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0006-ja	中性はどの温度でもpH 7を意味するか。	意味しない。中性は水素イオンと水酸化物イオンの活量が等しいこと。中性のpHは温度で変わる水のイオン積に依存する。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0007-ja	同じ溶媒と温度条件で、pKaが低いことは何を示すか。	解離する傾向が強い、より強い酸を示す。溶液の濃さを指定するものではない。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0008-ja	初期濃度Cの一価弱酸で共役塩基を加えず、水の寄与を無視できるとき、xだけ解離した場合のKaの濃度式は何か。	理想的な希薄溶液の挙動を仮定して、Ka = x²/(C − x)。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0009-ja	C = 0.040 mol/L、Ka = 10⁻⁵で、x ≈ √(KaC)という近似を支持する確認結果は何か。	推定値x ≈ 0.000632 mol/LはCの約1.58%にすぎず、酸の減少が小さい。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0010-ja	25°Cの水に理想的な強酸を10⁻⁸ mol/L加えてもpH 8にならないのはなぜか。	水からの水素イオンの寄与を無視できないため。電荷収支と水の平衡を考えるとpHは7よりわずかに低くなる。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
IMF-105-02-0011-ja	HA/A−緩衝液で、加えた強酸を主に消費する成分は何か。	共役塩基A−。HAへ変わる。	Integrated Medical Foundations; chapter 105, TTS module 2; https://theisegoria.github.io/medical-textbook/integrated-medical-foundations-expanded-japanese.md; module SHA256 at export: 69f116d8e5dd715c9c915f5e2362dc7bb65bf04308b86fc596a6fc034d1de0ff; editorial review pending	imf lang::ja chapter::105 module::105-02 review::pending
